DATE,EXPTOTIL
2010-07-01,4069.8
2010-08-01,4119.2
2010-09-01,4190.4
2010-10-01,4738.0
2010-11-01,4297.5
2010-12-01,4481.8
2011-01-01,4636.5
2011-02-01,4362.1
2011-03-01,5740.1
2011-04-01,5484.3
2011-05-01,5624.5
2011-06-01,5531.4
2011-07-01,5683.3
2011-08-01,5548.1
2011-09-01,5607.8
2011-10-01,5408.6
2011-11-01,5371.5
2011-12-01,5566.5
2012-01-01,5212.0
2012-02-01,5857.0
2012-03-01,6180.9
2012-04-01,5943.9
2012-05-01,5969.1
2012-06-01,5892.4
2012-07-01,5548.0
2012-08-01,5614.5
2012-09-01,5617.9
2012-10-01,5658.8
2012-11-01,5447.3
2012-12-01,5084.4
2013-01-01,4686.954587
2013-02-01,5195.474694
2013-03-01,5637.595204
2013-04-01,5409.467803
2013-05-01,5684.2593
2013-06-01,5298.723946
2013-07-01,5399.484998
2013-08-01,5587.157631
2013-09-01,5081.32294
2013-10-01,6437.949564
2013-11-01,5932.478536
2013-12-01,5862.01958
2014-01-01,5543.863504
2014-02-01,5326.75582
2014-03-01,6299.024206
2014-04-01,5740.634317
2014-05-01,5855.056913
2014-06-01,5802.528762
2014-07-01,5547.331985
2014-08-01,5604.573523
2014-09-01,5573.424015
2014-10-01,5991.081865
2014-11-01,5700.934444
2014-12-01,5408.794897
2015-01-01,5212.994791
2015-02-01,4920.779836
2015-03-01,5660.371389
2015-04-01,5352.259539
2015-05-01,5569.401491
2015-06-01,5398.412036
2015-07-01,5092.999149
2015-08-01,5131.094642
2015-09-01,5242.702176
2015-10-01,5476.04566
2015-11-01,5249.589141
2015-12-01,5062.041086
2016-01-01,4655.120854
2016-02-01,5017.751727
2016-03-01,5186.461059
2016-04-01,4893.911081
2016-05-01,4849.989111
2016-06-01,5075.099781
2016-07-01,4804.020846
2016-08-01,4974.561802
2016-09-01,4862.203528
2016-10-01,5408.20834
2016-11-01,5019.608909
2016-12-01,5115.143815
2017-01-01,5074.071795
2017-02-01,4992.440929
2017-03-01,5677.076312
2017-04-01,5360.089542
2017-05-01,5480.320424
2017-06-01,5863.254328
2017-07-01,5160.471635
2017-08-01,5645.729346
2017-09-01,5342.826464
2017-10-01,5553.193451
2017-11-01,5667.004263
2017-12-01,5474.9523
2018-01-01,5063.181912
2018-02-01,5109.781272
2018-03-01,5911.302535
2018-04-01,5791.778626
2018-05-01,5826.755591
2018-06-01,5913.107265
2018-07-01,5269.988279
2018-08-01,5457.976217
2018-09-01,5269.634638
2018-10-01,5790.863196
2018-11-01,5175.499723
2018-12-01,4911.537186
2019-01-01,4900.55449
2019-02-01,4886.148752
2019-03-01,5606.251578
2019-04-01,5263.318215
2019-05-01,5280.71959
2019-06-01,4905.903465
2019-07-01,4729.029879
2019-08-01,4949.982851
2019-09-01,4932.498257
2019-10-01,5179.96349
