DATE,EXPTOTFL
2018-12-01,4984.394407
2019-01-01,4385.737398
2019-02-01,4453.410833
2019-03-01,4919.628162
2019-04-01,4565.218232
2019-05-01,4872.13959
2019-06-01,4629.887277
2019-07-01,4498.537868
2019-08-01,4805.913925
2019-09-01,4411.736815
2019-10-01,4917.523155
