DATE	AKBPPRIV	ALBPPRIV	ARBPPRIV	AZBPPRIV	CABPPRIV	COBPPRIV	CTBPPRIV	DCBPPRIV	DEBPPRIV	FLBPPRIV	GABPPRIV	HIBPPRIV	IABPPRIV	IDBPPRIV	ILBPPRIV	INBPPRIV	KSBPPRIV	KYBPPRIV	LABPPRIV	MABPPRIV	MDBPPRIV	MEBPPRIV	MIBPPRIV	MNBPPRIV	MOBPPRIV	MSBPPRIV	MTBPPRIV	NCBPPRIV	NDBPPRIV	NEBPPRIV	NHBPPRIV	NJBPPRIV	NMBPPRIV	NVBPPRIV	NYBPPRIV	OHBPPRIV	OKBPPRIV	ORBPPRIV	PABPPRIV	RIBPPRIV	SCBPPRIV	SDBPPRIV	TNBPPRIV	TXBPPRIV	UTBPPRIV	VABPPRIV	VTBPPRIV	WABPPRIV	WIBPPRIV	WVBPPRIV	WYBPPRIV
2017-08-01	171	1186	917	3941	9654	4476	489	437	651	10803	4901	265	1574	1688	2175	1685	1079	1184	1262	1237	1567	505	2204	2313	1956	645	357	6730	314	821	302	2311	430	1932	3324	2890	839	2692	1658	164	3184	435	4197	15857	2594	2786	142	4799	1400	275	187
2017-09-01	122	1374	1035	3108	8910	3016	434	329	479	7966	3826	817	1058	1196	2015	1486	994	942	1166	1460	1819	417	2313	2365	1512	545	369	5068	442	738	376	2229	357	1043	3626	2050	777	1670	2104	94	2641	790	3423	12233	1975	2706	292	3425	1850	227	191
2017-10-01	133	1126	862	3706	10335	3173	561	1395	542	10721	4285	413	1428	1434	2085	1635	577	848	1168	1568	918	341	2972	2373	2568	651	466	5899	612	578	280	2669	434	1597	3116	2093	1037	1643	1726	99	2867	559	3259	15098	2446	2950	131	4392	1852	246	146
2017-11-01	114	1088	771	2681	8272	3619	369	860	485	7665	3130	223	1245	1059	1839	1483	666	1006	2270	1070	1114	503	1688	1865	1287	509	248	5774	171	799	224	2651	300	2032	2568	1604	808	1701	1741	82	2595	418	2321	13140	2209	2936	105	4138	1190	160	170
2017-12-01	105	1338	1074	2806	11393	2639	299	92	604	8748	2895	313	1000	817	1880	1262	799	871	873	2359	785	283	1487	1574	1334	535	164	4694	36	683	150	2639	387	1457	4248	1251	737	1726	1807	79	2382	258	2724	11348	1513	1906	50	3349	1028	197	76
2018-01-01	111	1212	1278	3531	8730	3875	342	87	501	11346	5010	224	459	911	733	1008	451	854	1168	1369	1360	193	1209	1706	840	453	138	6168	36	313	332	1510	393	1189	2382	1487	905	1905	1256	59	2811	166	2760	15207	2363	2437	57	2838	766	159	76
2018-02-01	111	1225	654	3005	8016	4177	470	275	445	10235	3956	701	406	1226	946	1269	401	700	1028	864	1055	291	1125	1221	858	482	179	6325	44	680	314	2235	440	1588	2276	1545	847	1694	1586	89	2608	353	2423	12204	2150	3048	72	3044	900	192	113
2018-03-01	140	1136	1244	3132	11546	5473	321	359	507	11321	5989	355	1025	1480	2224	2360	773	1230	1449	1291	1990	248	1644	1650	1789	568	295	5582	129	585	247	2319	635	1577	3841	1799	899	1661	1948	118	3337	418	3022	15486	2417	2914	137	5006	1522	268	166
2018-04-01	129	1353	1088	4261	10136	3672	290	63	532	13793	4471	265	1294	1117	1985	2345	792	1769	1480	813	1555	343	2129	1860	1487	676	422	6368	321	1410	226	1611	429	1510	2300	2089	940	1595	2062	93	3219	467	3658	19795	2028	2909	100	4150	2015	296	149
2018-05-01	186	1546	792	3621	12089	3675	383	112	677	11192	5600	348	1279	1311	2998	2537	1001	1055	1655	2238	1391	429	2148	2908	1587	677	380	6649	571	781	377	2353	417	2080	4844	3147	1081	1416	2559	152	3072	604	3665	16526	2486	2432	172	3318	2033	290	194
